Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
RNA, U7 small nuclear 60 pseudogene	Approved		12p13.2		NG_007677		ENSG00000251747	100151655
RNA, U7 small nuclear 61 pseudogene	Approved		16p11.2		NG_007678		ENSG00000251706	100151656
RNA, U7 small nuclear 62 pseudogene	Approved		1p31.3		NG_007679		ENSG00000238653	100151657
RNA, U7 small nuclear 63 pseudogene	Approved		16p13.2		NG_007680		ENSG00000238417	100151658
RNA, U7 small nuclear 64 pseudogene	Approved		2p11.2		NG_007681			100151662
RNA, U7 small nuclear 65 pseudogene	Approved		6p12.3		NG_007682		ENSG00000252457	100151663
RNA, U7 small nuclear 66 pseudogene	Approved		6q12		NG_007683		ENSG00000238949	100151664
RNA, U7 small nuclear 67 pseudogene	Approved		8q22.3		NG_007684		ENSG00000239115	100151665
RNA, U7 small nuclear 68 pseudogene	Approved	RNU7P1	Xq24	M35537	NG_001188			6072
RNA, U7 small nuclear 69 pseudogene	Approved		Xq25		NG_007685		ENSG00000252178	100151666
RNA, U7 small nuclear 70 pseudogene	Approved		1p13.2		NG_007686		ENSG00000252750	100151667
RNA, U7 small nuclear 71 pseudogene	Approved		16q22.2		NG_007687		ENSG00000251868	100151668
RNA, U7 small nuclear 72 pseudogene	Approved		20q13.13		NG_007688			100151669
RNA, U7 small nuclear 73 pseudogene	Approved		3p22.2		NG_007689		ENSG00000239105	100151670
RNA, U7 small nuclear 74 pseudogene	Approved		4p14		NG_007690		ENSG00000239010	100151671
RNA, U7 small nuclear 75 pseudogene	Approved		5p13.2		NG_007691		ENSG00000251880	100151672
RNA, U7 small nuclear 76 pseudogene	Approved		7p12.3		NG_007692			100151673
RNA, U7 small nuclear 77 pseudogene	Approved		10p11.21		NG_007693		ENSG00000253054	100151674
RNA, U7 small nuclear 78 pseudogene	Approved		1q25.1		NG_007694			100151675
RNA, U7 small nuclear 79 pseudogene	Approved		15q25.3		NG_007695		ENSG00000251891	100151676
RNA, U7 small nuclear 80 pseudogene	Approved		1p31.3		NG_007696		ENSG00000238778	100151677
RNA, U7 small nuclear 81 pseudogene	Approved		2p16.1		NG_007697		ENSG00000252507	100151678
RNA, U7 small nuclear 82 pseudogene	Approved	RNU7-163P	3q26.1		NG_007698		ENSG00000238924	100151679
RNA, U7 small nuclear 83 pseudogene	Approved		7q31.1		NG_007699			100151680
RNA, U7 small nuclear 84 pseudogene	Approved		8q23.1		NG_007700		ENSG00000251892	100151681
RNA, U7 small nuclear 85 pseudogene	Approved		8q21.13		NG_007701		ENSG00000238884	100151682
RNA, U7 small nuclear 86 pseudogene	Approved	RNU7P2	Xq24	M35538	NG_001189			6073
RNA, U7 small nuclear 87 pseudogene	Approved		13q21.32				ENSG00000238500	100873842
RNA, U7 small nuclear 88 pseudogene	Approved		13q21.2				ENSG00000239003	100873843
RNA, U7 small nuclear 89 pseudogene	Approved		13q22.1					100873844
RNA, U7 small nuclear 90 pseudogene	Approved		16q22.2				ENSG00000238731	106479060
RNA, U7 small nuclear 92 pseudogene	Approved		20q13.13				ENSG00000238785	106479061
RNA, U7 small nuclear 93 pseudogene	Approved		14q13.3				ENSG00000238540	106480813
RNA, U7 small nuclear 94 pseudogene	Approved		12q23.3				ENSG00000238609	106481799
RNA, U7 small nuclear 95 pseudogene	Approved		1p32.3				ENSG00000239007	106479062
RNA, U7 small nuclear 96 pseudogene	Approved		2q11.2				ENSG00000238719	106480361
RNA, U7 small nuclear 97 pseudogene	Approved		17q21.2				ENSG00000238704	106479063
RNA, U7 small nuclear 99 pseudogene	Approved		16p13.3				ENSG00000252080	106480814
symbol withdrawn, see RNU7-12P	Symbol Withdrawn							
RNA, U7 small nuclear 102 pseudogene	Approved		8q13.2				ENSG00000238808	106479064
RNA, U7 small nuclear 103 pseudogene	Approved		12p13.33				ENSG00000238370	107063544
RNA, U7 small nuclear 104 pseudogene	Approved		2q31.2				ENSG00000238542	106480448
RNA, U7 small nuclear 105 pseudogene	Approved		11q13.4				ENSG00000251919	106479065
RNA, U7 small nuclear 106 pseudogene	Approved		12q21.31				ENSG00000238842	106479066
RNA, U7 small nuclear 107 pseudogene	Approved		10q11.23				ENSG00000238523	106479067
RNA, U7 small nuclear 110 pseudogene	Approved		3p22.3				ENSG00000252700	106480815
RNA, U7 small nuclear 111 pseudogene	Approved		15q26.1				ENSG00000252645	106481800
symbol withdrawn, see RNU7-36P	Symbol Withdrawn							
RNA, U7 small nuclear 113 pseudogene	Approved		2p24.1				ENSG00000238735	106479068
RNA, U7 small nuclear 115 pseudogene	Approved		17q24.1				ENSG00000252242	106479069
RNA, U7 small nuclear 116 pseudogene	Approved		14q23.2				ENSG00000252749	106480816
symbol withdrawn, see RNU7-43P	Symbol Withdrawn							
RNA, U7 small nuclear 119 pseudogene	Approved		3p13				ENSG00000239119	106479070
RNA, U7 small nuclear 120 pseudogene	Approved		12q21.33				ENSG00000238302	106480817
RNA, U7 small nuclear 121 pseudogene	Approved		1p34.2				ENSG00000252413	106480449
RNA, U7 small nuclear 123 pseudogene	Approved		1p31.3				ENSG00000251720	106479071
RNA, U7 small nuclear 124 pseudogene	Approved		9p13.2				ENSG00000251745	106479072
RNA, U7 small nuclear 125 pseudogene	Approved	RNU7-135P	16p13.12				ENSG00000238964	106480818
RNA, U7 small nuclear 126 pseudogene	Approved		4p15.2				ENSG00000238632	106479073
RNA, U7 small nuclear 127 pseudogene	Approved		2q37.2				ENSG00000238812	106480362
RNA, U7 small nuclear 128 pseudogene	Approved		3p21.31				ENSG00000253056	106480819
RNA, U7 small nuclear 129 pseudogene	Approved		18p11.21				ENSG00000251937	106480450
RNA, U7 small nuclear 130 pseudogene	Approved		5p13.2				ENSG00000238441	106479074
symbol withdrawn, see RNU7-4P	Symbol Withdrawn							
RNA, U7 small nuclear 133 pseudogene	Approved		6p23				ENSG00000238987	106479075
RNA, U7 small nuclear 134 pseudogene	Approved		17q22				ENSG00000238447	106480820
symbol withdrawn, see RNU7-125P	Symbol Withdrawn							
RNA, U7 small nuclear 136 pseudogene	Approved		3q25.33				ENSG00000238427	106479076
RNA, U7 small nuclear 137 pseudogene	Approved		20p11.23				ENSG00000252597	106480821
RNA, U7 small nuclear 138 pseudogene	Approved		2p25.1				ENSG00000239053	106481801
symbol withdrawn, see RNU7-8P	Symbol Withdrawn							
RNA, U7 small nuclear 140 pseudogene	Approved		19p13.2				ENSG00000238364	106479077
RNA, U7 small nuclear 141 pseudogene	Approved		20q13.33				ENSG00000238777	106480822
symbol withdrawn, see RNU7-18P	Symbol Withdrawn							
RNA, U7 small nuclear 143 pseudogene	Approved		7p15.3				ENSG00000252590	106479078
RNA, U7 small nuclear 144 pseudogene	Approved		20q13.13				ENSG00000238452	106479079
RNA, U7 small nuclear 147 pseudogene	Approved		2q33.1				ENSG00000238698	106480451
RNA, U7 small nuclear 148 pseudogene	Approved		2q24.3				ENSG00000238357	106480823
RNA, U7 small nuclear 149 pseudogene	Approved		4q23				ENSG00000252548	106479080
RNA, U7 small nuclear 151 pseudogene	Approved		4q24				ENSG00000252739	106480824
RNA, U7 small nuclear 152 pseudogene	Approved		6q25.3				ENSG00000238789	106479081
RNA, U7 small nuclear 153 pseudogene	Approved		8p22				ENSG00000252264	106479082
RNA, U7 small nuclear 154 pseudogene	Approved		7q31.32				ENSG00000252003	106481802
RNA, U7 small nuclear 155 pseudogene	Approved		17q24.3				ENSG00000238759	106480825
RNA, U7 small nuclear 156 pseudogene	Approved		5q31.3				ENSG00000253023	106479083
RNA, U7 small nuclear 157 pseudogene	Approved		7p11.2				ENSG00000238431	106480826
RNA, U7 small nuclear 159 pseudogene	Approved		11q22.2				ENSG00000238562	106481747
RNA, U7 small nuclear 160 pseudogene	Approved		14q32.33				ENSG00000252469	106479085
RNA, U7 small nuclear 161 pseudogene	Approved		5p13.1				ENSG00000253098	106480452
symbol withdrawn, see RNU7-82P	Symbol Withdrawn							
RNA, U7 small nuclear 164 pseudogene	Approved		Xp11.4				ENSG00000238730	106479086
RNA, U7 small nuclear 165 pseudogene	Approved		10q25.3				ENSG00000238380	106479087
RNA, U7 small nuclear 167 pseudogene	Approved		22q12.3				ENSG00000238584	106479088
RNA, U7 small nuclear 169 pseudogene	Approved		12q24.11				ENSG00000238457	106480827
RNA, U7 small nuclear 170 pseudogene	Approved		12q24.31				ENSG00000239082	106480453
RNA, U7 small nuclear 171 pseudogene	Approved		9q34.11				ENSG00000238406	106479089
RNA, U7 small nuclear 172 pseudogene	Approved		2p16.2				ENSG00000252934	106480828
RNA, U7 small nuclear 173 pseudogene	Approved		20q13.13				ENSG00000238950	106479090
RNA, U7 small nuclear 174 pseudogene	Approved		8q12.1				ENSG00000252057	106480829
RNA, U7 small nuclear 175 pseudogene	Approved		5q13.3				ENSG00000251724	106479091
RNA, U7 small nuclear 176 pseudogene	Approved		2p25.1				ENSG00000238962	106481803
RNA, U7 small nuclear 179 pseudogene	Approved		1p36.21				ENSG00000252417	106479092
RNA, U7 small nuclear 180 pseudogene	Approved		5q32				ENSG00000238374	106480830
RNA, U7 small nuclear 181 pseudogene	Approved		8q24.21				ENSG00000253043	106479093
RNA, U7 small nuclear 182 pseudogene	Approved		2q14.3				ENSG00000238788	106480831
RNA, U7 small nuclear 183 pseudogene	Approved		1q25.3				ENSG00000252407	106480454
RNA, U7 small nuclear 185 pseudogene	Approved		9p24.1				ENSG00000239102	106479094
RNA, U7 small nuclear 186 pseudogene	Approved		17q21.32				ENSG00000238419	106480363
RNA, U7 small nuclear 187 pseudogene	Approved		11q23.2				ENSG00000238998	106479095
RNA, U7 small nuclear 188 pseudogene	Approved		7q21.3				ENSG00000252872	106480832
RNA, U7 small nuclear 190 pseudogene	Approved		2q14.1				ENSG00000239185	106479096
RNA, U7 small nuclear 192 pseudogene	Approved		4q35.2				ENSG00000252275	106480833
RNA, U7 small nuclear 193 pseudogene	Approved		10q11.21				ENSG00000252532	106481804
RNA, U7 small nuclear 194 pseudogene	Approved		4q31.3				ENSG00000238721	106480834
RNA, U7 small nuclear 195 pseudogene	Approved		15q26.1				ENSG00000239151	106479097
RNA, U7 small nuclear 196 pseudogene	Approved		5q13.2				ENSG00000238913	106479098
RNA, U7 small nuclear 197 pseudogene	Approved		4q31.23				ENSG00000239168	106480455
RNA, U7 small nuclear 200 pseudogene	Approved		1p36.12				ENSG00000251914	106480835
symbol withdrawn, see RNU7-24P	Symbol Withdrawn							
RNA, U11 small nuclear	Approved		1p35.3	X58716	NR_004407		ENSG00000274978	26824
RNA, U11 small nuclear 2, pseudogene	Approved		17p12				ENSG00000252707	106479561
RNA, U11 small nuclear 3, pseudogene	Approved		10q24.33				ENSG00000212413	106479562
RNA, U11 small nuclear 4, pseudogene	Approved		8q24.21				ENSG00000212451	106481174
RNA, U11 small nuclear 5, pseudogene	Approved		14q12				ENSG00000212518	106479563
RNA, U11 small nuclear 6, pseudogene	Approved		8q21.13				ENSG00000212429	106480544
RNA, U12 small nuclear	Approved	RNU12P	22q13.2	L43846	NR_029422		ENSG00000276027	267010
RNA, U12 small nuclear 2, pseudogene	Approved	RNU12, RNU12P	Xp11.23	L43845	NG_013273		ENSG00000201659	26823
symbol withdrawn, see SNHG3	Symbol Withdrawn							
symbol withdrawn, see SNORD46	Symbol Withdrawn							
symbol withdrawn, see SNORA73B	Symbol Withdrawn							
RNA, U105B small nucleolar	Approved		20p12.3	U12207	NR_004386		ENSG00000201348	26767
RNA, U105C small nucleolar	Approved		8q11.23	U12208	NR_004385		ENSG00000199212	26766
RNA, variant U1 small nuclear 1	Approved	RNU1P10, RNU1-10P, RNVU1-10	1q21.1	M25188	NR_104082		ENSG00000207340	101954273
RNA, variant U1 small nuclear 2	Approved		1q21.1	JQ988795			ENSG00000252135	
RNA, variant U1 small nuclear 3	Approved	RNVU1-12	1q21.1		NR_104081		ENSG00000201183	101954272
RNA, variant U1 small nuclear 4	Approved	RNVU1-5	1q21.1		NR_104073		ENSG00000277610	101954264
symbol withdrawn, see RNVU1-4	Symbol Withdrawn							
RNA, variant U1 small nuclear 6	Approved		1q21.1		NR_104085		ENSG00000201558	101954276
RNA, variant U1 small nuclear 7	Approved	RNU1-9, RNU1-9P, RNVU1-9, RNU1-6P, RNU1-26P	1q21.1	JQ988801	NR_004426		ENSG00000206585	26864
RNA, variant U1 small nuclear 8	Approved		1q21.1	JQ988802	NR_121645			101447996
symbol withdrawn, see RNVU1-7	Symbol Withdrawn							
symbol withdrawn, see RNVU1-1	Symbol Withdrawn							
RNA, variant U1 small nuclear 11	Approved	RNU1P2, RNU1-12P	1q21.2	JQ988805	NG_001184			6063
symbol withdrawn, see RNVU1-3	Symbol Withdrawn							
symbol withdrawn, see RNVU1-19	Symbol Withdrawn							
RNA, variant U1 small nuclear 14	Approved		1q21.2		NR_104075		ENSG00000207501	101954266
RNA, variant U1 small nuclear 15	Approved	RNVU1-16	1q21.2		NR_104076		ENSG00000207205	101954267
symbol withdrawn, see RNVU1-15	Symbol Withdrawn							
RNA, variant U1 small nuclear 17	Approved		1q21.2		NR_104078		ENSG00000207349	101954269
RNA, variant U1 small nuclear 18	Approved	RNU1P1, RNU1-5, RNU1-25, RNU1-25P	1q21.2	JQ988812	NR_004400		ENSG00000206737	26863
RNA, variant U1 small nuclear 19	Approved	RNVU1-13	1q21.2		NR_104086		ENSG00000275538	101954277
RNA, variant U1 small nuclear 20	Approved		1q21.2 not on reference assembly		NR_125392			101954268
RNA, Ro60-associated Y1	Approved		7q36.1	V00584	NR_004391	601821	ENSG00000201098	6084
RNY1 pseudogene 1	Approved		13q12.2				ENSG00000201242	100873802
RNY1 pseudogene 2	Approved		13q33.1				ENSG00000201690	100862666
RNY1 pseudogene 3	Approved		13q12.13				ENSG00000223158	100873803
RNY1 pseudogene 4	Approved		13q13.1				ENSG00000207325	100873804
RNY1 pseudogene 5	Approved		13q22.1				ENSG00000206617	100862667
RNY1 pseudogene 6	Approved		13q14.3				ENSG00000206920	100873805
RNY1 pseudogene 7	Approved		13q12.12				ENSG00000207474	100873806
RNY1 pseudogene 8	Approved		13q22.1				ENSG00000206697	100873807
RNY1 pseudogene 9	Approved	KLHL22-IT1, RNYP1	22q11.21				ENSG00000255156	100874358
RNY1 pseudogene 10	Approved		16p12.1				ENSG00000200138	106480308
RNY1 pseudogene 11	Approved		7q32.1				ENSG00000200629	106481710
RNY1 pseudogene 12	Approved		3q12.3				ENSG00000201121	106480309
RNY1 pseudogene 13	Approved		1p13.2				ENSG00000201900	106480310
RNY1 pseudogene 14	Approved		4q31.21				ENSG00000207155	106480311
RNY1 pseudogene 15	Approved		9q33.2				ENSG00000222351	106481711
RNY1 pseudogene 16	Approved		12q23.2				ENSG00000199933	106480312
RNA, Ro60-associated Y3	Approved		7q36.1	V00585	NR_004392	601822	ENSG00000202354	6085
RNY3 pseudogene 1	Approved		5q14.1				ENSG00000201955	106478984
RNY3 pseudogene 2	Approved		13q14.2				ENSG00000199788	100862668
RNY3 pseudogene 3	Approved		13q22.3				ENSG00000200686	100862669
RNY3 pseudogene 4	Approved		13q12.12				ENSG00000207157	100873808
RNY3 pseudogene 5	Approved		13q21.2				ENSG00000206854	100873809
RNY3 pseudogene 6	Approved		13q32.3					100873810
RNY3 pseudogene 7	Approved		13q22.3				ENSG00000206800	100862670
RNY3 pseudogene 8	Approved		13q32.1				ENSG00000223298	106478985
RNY3 pseudogene 9	Approved		13q14.11				ENSG00000207458	100862672
RNY3 pseudogene 10	Approved		13q21.33				ENSG00000207495	100873820
RNY3 pseudogene 11	Approved		6q21				ENSG00000201023	106481713
RNY3 pseudogene 12	Approved		10q23.33				ENSG00000202297	106480315
RNY3 pseudogene 13	Approved		3q22.1				ENSG00000202412	106481714
RNY3 pseudogene 14	Approved		8q13.3				ENSG00000207036	106480316
RNY3 pseudogene 15	Approved		6p21.31				ENSG00000252106	107178919
RNY3 pseudogene 16	Approved		Xq24				ENSG00000252147	106480686
RNA, Ro60-associated Y4	Approved		7q36.1	L32608	NR_004393	601823	ENSG00000252316	6086
RNY4 pseudogene 1	Approved		9q21.13	M77131	NG_005036			6087
RNY4 pseudogene 2	Approved		17q21.31	M77130	NG_005037			6088
RNY4 pseudogene 3	Approved		16q12.1	M77132	NG_005038		ENSG00000202124	6089
RNY4 pseudogene 4	Approved		3q22.3					100379297
RNY4 pseudogene 5	Approved		8q24.13					100379299
RNY4 pseudogene 6	Approved		11q23.3				ENSG00000200537	100379287
RNY4 pseudogene 7	Approved		2q14.3				ENSG00000201470	100169850
RNY4 pseudogene 8	Approved		17q21.2		NR_033356			100379295
RNY4 pseudogene 9	Approved		13q14.3				ENSG00000200064	100379300
RNY4 pseudogene 10	Approved		6p21.3				ENSG00000202441	100379592
RNY4 pseudogene 11	Approved		20p11.23					100379288
RNY4 pseudogene 13	Approved		17q11.2				ENSG00000207011	100379296
RNY4 pseudogene 14	Approved		13q13.3				ENSG00000200526	100379584
RNY4 pseudogene 15	Approved		2p11.2					100379291
RNY4 pseudogene 16	Approved		1q42.11				ENSG00000201638	100431173
RNY4 pseudogene 17	Approved		4q32.3				ENSG00000201818	100379564
RNY4 pseudogene 18	Approved		9q31.3				ENSG00000212409	100379298
RNY4 pseudogene 19	Approved		2q36.3				ENSG00000199400	100169834
RNY4 pseudogene 20	Approved		6q25.1				ENSG00000252487	100379378
RNY4 pseudogene 21	Approved		14q24.3					100862663
RNY4 pseudogene 22	Approved		3p24.3		NG_032585			100873800
RNY4 pseudogene 23	Approved		Xq13.1				ENSG00000201377	100873801
RNY4 pseudogene 24	Approved		13q14.3				ENSG00000199605	100862664
RNY4 pseudogene 25	Approved		1q21.3				ENSG00000238711	100862665
RNY4 pseudogene 26	Approved		10q23.33		NG_032599			100873819
RNY4 pseudogene 27	Approved		13q32.1				ENSG00000200211	100873821
RNY4 pseudogene 28	Approved		13q21.2				ENSG00000202151	100873822
RNY4 pseudogene 29	Approved		13q21.1				ENSG00000222733	100873823
RNY4 pseudogene 30	Approved		13q14.2				ENSG00000222148	100862673
RNY4 pseudogene 31	Approved		13q21.2		NG_032104			100862674
RNY4 pseudogene 34	Approved		2q33.1				ENSG00000201649	106481712
RNY4 pseudogene 36	Approved		17q25.1				ENSG00000212418	106480313
RNY4 pseudogene 37	Approved		18q21.1				ENSG00000252034	106480314
RNA, Ro60-associated Y5	Approved		7q36.1	U64824	NR_001571	601824		6090
RNY5 pseudogene 1	Approved		1p34.3		NG_016725			100379666
RNY5 pseudogene 2	Approved		2q33.1		NG_016767			100381208
RNY5 pseudogene 3	Approved		3q26.2		NG_016720			100379664
RNY5 pseudogene 4	Approved		4q28.2		NG_016727			100380271
RNY5 pseudogene 5	Approved		6p22.3		NG_016705			100379658
RNY5 pseudogene 6	Approved		8p11.21		NG_016719			100379663
RNY5 pseudogene 7	Approved		10q24.31		NG_007998			100169835
RNY5 pseudogene 8	Approved		13q33.1		NG_016734			100380878
RNY5 pseudogene 9	Approved		16q21		NG_007999			100169836
RNY5 pseudogene 10	Approved		19q13.12		NG_008006			100169837
Ro60, Y RNA binding protein	Approved	SSA2, TROVE2	1q31.2	BC036658	NM_004600	600063	ENSG00000116747	6738
roundabout guidance receptor 1	Approved		3p12.3	AF040990	NM_002941	602430	ENSG00000169855	6091
roundabout guidance receptor 2	Approved		3p12.3	AF040991	NM_001128929	602431	ENSG00000185008	6092
roundabout guidance receptor 2 pseudogene 1	Approved		7p12.1				ENSG00000229478	106480790
roundabout guidance receptor 3	Approved	HGPPS	11q24.2	AK024697	NM_022370	608630	ENSG00000154134	64221
roundabout guidance receptor 4	Approved		11q24.2	AF361473	NM_019055	607528	ENSG00000154133	54538
Rho associated coiled-coil containing protein kinase 1	Approved		18q11.1		NM_005406	601702	ENSG00000067900	6093
Rho associated coiled-coil containing protein kinase 1 pseudogene 1	Approved		18p11.32				ENSG00000263006	727758
Rho associated coiled-coil containing protein kinase 2	Approved		2p25.1	D87931		604002	ENSG00000134318	9475
regulator of chondrogenesis RNA	Approved	LINC02095	17q24.3		NR_110876		ENSG00000228639	102723505
rogdi atypical leucine zipper	Approved		16p13.3	AK026039	NM_024589	614574	ENSG00000067836	79641
